4889|Fujifilm Pro Photo Center|Други|София Пловдив Варна Бургас Стара Загора Плевен Велико Търново
2051|Happy Bar & Grill|Заведения|София Пловдив Русе Шумен
8849|Супермаркети Триумф|Пазаруване|Пловдив
2961|Сладкарница Лучиано|Заведения|Варна
3574|Ресторанти Златната Круша|Заведения|Пловдив
4951|Ресторант Мидена къща|Заведения|Варна
3115|Bar & Grill Grillo|Заведения|София
4867|Механа Одаята|Заведения|Варна
3587|Хотел Армира|Туризъм|Стара Загора
8502|Авапарк Аква Парадайз|Забавления|Несебър
3091|Sushi Express|Заведения|София
2891|Автомивка PGlux|Автомобили|София
8693|Верига ресторанти Сентрал Парк|Заведения|Пловдив
1309|Хотел Калина Палас|Туризъм|Трявна
3052|Ресторант Nicol|Заведения|Пловдив
2880|Sushi Shop|Заведения|Пловдив
2978|George Martin Beauty Center|Красота и Релакс|София
7933|Р-т и Пицария Хелиос|Заведения|Пловдив
8270|Тематичен парк Хепи Ленд|Забавления|
4291|Пицария Акварел (Чаталджа)|Заведения|Варна
1188|Стилист Капанов|Красота и Релакс|София
3082|Ресторант Тадж Махал|Заведения|София
6301|Механа Боляри|Заведения|Русе
7720|Дон Домат Стрелбище|Заведения|София
7224|Сладкарска къща Юлинел|Заведения|Варна
7159|Life Restaurant|Заведения|Плевен
5780|Ресторант Шармант|Заведения|Пловдив
2903|Фото студия Pixel Plus|Пазаруване|Варна
2942|Пицария Фиоре|Заведения|Варна
4258|Пастария Гранд Италия|Заведения|Варна
3815|York Muzik Cafe|Заведения|Бургас
6259|Арменски ресторант Егур, Егур|Заведения|София
6912|Хотел Замъкът***|Туризъм|
2964|Varna Beauty Studio|Красота и Релакс|Варна
955|Ресторант Mario`s|Заведения|Русе
7408|Sushi Zone|Заведения|
8777|Бачи Долчи|Заведения|София
4290|Пицария Акварел (кв. Левски)|Заведения|Варна
7316|Бистро Тарт Фламбе|Заведения|Пловдив
2994|Емко М|Автомобили|Пловдив
5246|Салон за красота Престиж|Красота и Релакс|София
6631|Фабрика за храна и танци|Туризъм|
887|Пицария Da Vinci|Заведения|Варна
5857|My Cafe & Bar|Заведения|Пловдив
7569|Сладкарница Sweet Dreams|Заведения|Варна
7435|Хотел Плиска|Туризъм|
2284|Хотел Елени Палас|Туризъм|Елена
8903|Магнифико Трейд|Пазаруване|София
2955|Ресторант Bodega|Заведения|Варна
2844|TM Тurkish Restaurant|Заведения|София
5304|Бензиностанции Synergon Petroleum|Автомобили|Силистра Берковица Севлиево Божурище Самоков Борово Дупница Поморие Видин София Пловдив Варна Русе Плевен Шумен Благоевград Монтана
3876|Ресторант БМ Риалто|Заведения|Варна
3051|Ресторант Арена|Заведения|Пловдив
7155|Магазин ОНТАЙМ|Пазаруване|Шумен
8241|Beauty centar Pret-a-porter|Красота и Релакс|Варна
1970|Terra Complex|Туризъм|Разлог
3204|The Mall Luna Park|Забавления|София
3446|Ресторант Острова|Заведения|Пловдив
5012|Механа Бай Ганьо Балкански|Заведения|Варна
